"scrape_date", "scrape_time", "name", "capacity", "count", "time"
"2022-09-07", "16:15:41", "Beacon", "190", "82", "Last updated: 1 min ago (5:14 PM)"
"2022-09-07", "16:15:41", "Roc-Bloc", "150", "33", "Last updated: now (5:14 PM)"
"2022-09-07", "16:15:41", "Boulder Hut", "0", "0", ""
"2022-09-07", "16:15:41", "The Climbing Experience", "150", "46", "Last updated: now (10:15 AM)"
"2022-09-07", "16:15:41", "Pinnacle Northampton", "50", "27", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "The Climbing Lab", "120", "0", "Last updated: Feb 16, 2022"
"2022-09-07", "16:15:41", "Liverpool Matchworks", "200", "26", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "The Hangar London", "60", "0", "Last updated: Jul 2, 2022"
"2022-09-07", "16:15:41", "The Hangar Plymouth", "0", "0", ""
"2022-09-07", "16:15:41", "The Climbing Hangar Exeter", "200", "66", "Last updated: 4 mins ago (5:11 PM)"
"2022-09-07", "16:15:41", "The Hangar Liverpool", "275", "56", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "Redpoint Worcester", "250", "27", "Last updated: now (4:15 PM)"
"2022-09-07", "16:15:41", "Volume1", "150", "43", "Last updated: now (5:15 PM)"
"2022-09-07", "16:15:41", "Eden Rock Edinburgh", "0", "0", "NA"
"2022-09-07", "16:15:41", "Eden Rock Carlisle", "0", "0", "NA"
"2022-09-07", "17:15:38", "Oakwood", "0", "0", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "BethWall Green", "150", "28", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "CanaryWall", "100", "24", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "CroyWall", "140", "20", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "HarroWall", "500", "62", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "RavensWall", "150", "38", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "VauxWall East", "140", "91", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "VauxWall West", "150", "82", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Foundry", "120", "55", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "KendalWall", "120", "43", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "LancasterWall", "150", "20", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "PrestonWall", "100", "26", "Last updated: 1 min ago (6:14 PM)"
"2022-09-07", "17:15:38", "The Church", "150", "51", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "The Mothership", "400", "111", "Last updated: 1 min ago (6:14 PM)"
"2022-09-07", "17:15:38", "The Newsroom", "225", "127", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "The Prop Store", "180", "79", "Last updated: 2 mins ago (6:14 PM)"
"2022-09-07", "17:15:38", "High Sports Brighton", "85", "48", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "Awesome Walls Liverpool", "69", "22", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Awesome Walls Sheffield", "179", "50", "Last updated: 1 min ago (6:14 PM)"
"2022-09-07", "17:15:38", "Awesome Walls Stockport", "95", "51", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "Awesome Walls Stoke", "100", "38", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Blue Spider UK", "50", "26", "now (6:14 PM)"
"2022-09-07", "17:15:38", "Yellow Spider UK", "50", "12", "now (6:14 PM)"
"2022-09-07", "17:15:38", "Big Rock Bond", "200", "77", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Big Rock Hub", "200", "37", "Last updated: 1 min ago (6:14 PM)"
"2022-09-07", "17:15:38", "Yonder", "120", "36", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "Beacon", "190", "74", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Roc-Bloc", "150", "73", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Boulder Hut", "0", "0", ""
"2022-09-07", "17:15:38", "The Climbing Experience", "150", "38", "Last updated: now (11:15 AM)"
"2022-09-07", "17:15:38", "Pinnacle Northampton", "50", "42", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "The Climbing Lab", "120", "0", "Last updated: Feb 16, 2022"
"2022-09-07", "17:15:38", "Liverpool Matchworks", "200", "52", "Last updated: now (6:14 PM)"
"2022-09-07", "17:15:38", "The Hangar London", "60", "0", "Last updated: Jul 2, 2022"
"2022-09-07", "17:15:38", "The Hangar Plymouth", "0", "0", ""
"2022-09-07", "17:15:38", "The Climbing Hangar Exeter", "200", "106", "Last updated: 2 mins ago (6:14 PM)"
"2022-09-07", "17:15:38", "The Hangar Liverpool", "275", "110", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Redpoint Worcester", "250", "38", "Last updated: 1 min ago (5:14 PM)"
"2022-09-07", "17:15:38", "Volume1", "150", "64", "Last updated: now (6:15 PM)"
"2022-09-07", "17:15:38", "Eden Rock Edinburgh", "0", "0", "NA"
"2022-09-07", "17:15:38", "Eden Rock Carlisle", "0", "0", "NA"
"2022-09-07", "18:15:41", "Oakwood", "0", "0", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "BethWall Green", "150", "59", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "CanaryWall", "100", "32", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "CroyWall", "140", "20", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "HarroWall", "500", "96", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "RavensWall", "150", "56", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "VauxWall East", "140", "140", "Last updated: now (7:15 PM)"
"2022-09-07", "18:15:41", "VauxWall West", "150", "150", "Last updated: now (7:15 PM)"
